mine_id,shift,equipment_id,equipment_type,capacity_per_h,capacity_unit,scheduled_hours,available_hours,operating_hours,idle_hours,maintenance_hours,breakdown_hours,availability,utilization,failure_event,maintenance_event,weather_state,haulage_state,production_contribution_t,date,provenance
SYN_MINE_01,A,SYN_EXC_001,excavator,50.0,t ore/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,272.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_EXC_002,excavator,50.0,t ore/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,272.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_001,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_002,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_003,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_004,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_005,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_006,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_007,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_008,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_009,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_010,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_011,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_012,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_013,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_014,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_015,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_016,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_017,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_TRUCK_018,dumper,8.0,t/h,7.0,7.0,5.51,1.49,0.0,0.0,1.0,0.7871,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_DRILL_001,drill,8.5,m/h,7.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,A,SYN_DRILL_002,drill,8.5,m/h,7.0,5.508,5.508,0.0,0.0,1.492,0.7869,1.0,True,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_EXC_001,excavator,50.0,t ore/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,300.92,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_EXC_002,excavator,50.0,t ore/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,300.92,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_001,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_002,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_003,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_004,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_005,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_006,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_007,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_008,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_009,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_010,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_011,dumper,8.0,t/h,7.0,3.057,2.699,0.358,0.0,3.943,0.4367,0.8828,True,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_012,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_013,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_014,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_015,dumper,8.0,t/h,7.0,1.97,1.739,0.231,0.0,5.03,0.2814,0.8828,True,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_016,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_017,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_TRUCK_018,dumper,8.0,t/h,7.0,7.0,6.18,0.82,0.0,0.0,1.0,0.8828,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_DRILL_001,drill,8.5,m/h,7.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,B,SYN_DRILL_002,drill,8.5,m/h,7.0,0.713,0.713,0.0,0.0,6.287,0.1019,1.0,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_EXC_001,excavator,50.0,t ore/h,6.0,0.54,0.459,0.081,0.0,3.458,0.09,0.8497,True,False,DRY,NORMAL,22.1,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_EXC_002,excavator,50.0,t ore/h,6.0,6.0,5.098,0.902,0.0,0.0,1.0,0.8497,False,False,DRY,NORMAL,245.41,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_TRUCK_001,dumper,8.0,t/h,6.0,6.0,5.098,0.902,0.0,0.0,1.0,0.8497,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_TRUCK_002,dumper,8.0,t/h,6.0,6.0,5.098,0.902,0.0,0.0,1.0,0.8497,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_TRUCK_003,dumper,8.0,t/h,6.0,6.0,5.098,0.902,0.0,0.0,1.0,0.8497,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
SYN_MINE_01,C,SYN_TRUCK_004,dumper,8.0,t/h,6.0,6.0,5.098,0.902,0.0,0.0,1.0,0.8497,False,False,DRY,NORMAL,0.0,2021-01-01,SYNTHETIC
